! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  1.250000000000000E+003 -6.217248937900877E-014  5.375496231162925E+000 -3.615346962004352E-002  0.000000000000000E+000 -5.339342761542944E+000
  1.300000000000000E+003 -6.661338147750939E-014  5.615572858337421E+000 -4.405934217097622E-002  0.000000000000000E+000 -5.571513516166512E+000
  1.350000000000000E+003 -7.727152251391090E-014  5.854166124379551E+000 -5.195502831074703E-002  0.000000000000000E+000 -5.802211096068882E+000
  1.400000000000000E+003 -7.638334409421077E-014  6.091306415616151E+000 -5.983878518717742E-002  0.000000000000000E+000 -6.031467630429050E+000
  1.450000000000000E+003 -6.394884621840902E-014  6.327023362280175E+000 -6.770910040492897E-002  0.000000000000000E+000 -6.259314261875311E+000
  1.500000000000000E+003 -6.483702463810914E-014  6.561345819472288E+000 -7.556466136037611E-002  0.000000000000000E+000 -6.485781158111977E+000
  1.550000000000000E+003 -7.016609515630989E-014  6.794301858542456E+000 -8.340432915095858E-002  0.000000000000000E+000 -6.710897529391567E+000
  1.600000000000000E+003 -7.815970093361102E-014  7.025918766528447E+000 -9.122711629441352E-002  0.000000000000000E+000 -6.934691650234112E+000
  1.650000000000000E+003 -8.526512829121202E-014  7.256223051782097E+000 -9.903216763451991E-002  0.000000000000000E+000 -7.157190884147663E+000
  1.700000000000000E+003 -8.348877145181177E-014  7.485240454303923E+000 -1.068187439228059E-001  0.000000000000000E+000 -7.378421710381201E+000
  1.800000000000000E+003 -6.661338147750939E-014  7.938296770929663E+000 -1.223147814162611E-001  0.000000000000000E+000 -7.815981989513468E+000
  1.900000000000000E+003 -7.638334409421077E-014  8.386539112185842E+000 -1.377273781661584E-001  0.000000000000000E+000 -8.248811734019760E+000
